timestamp,session_id,cwd,size,session_file
2026-07-31T04:06:09.455Z,019fb659-d8c8-7971-aa5f-6125546bafd1,d:\luanvancuoiky,24868087,C:\Users\vu minh\.codex\sessions\2026\07\31\rollout-2026-07-31T11-06-09-019fb659-d8c8-7971-aa5f-6125546bafd1.jsonl
2026-08-02T10:29:48.055Z,019fc205-cd55-7a50-950b-2f6a196b5dee,d:\luanvancuoiky,858063,C:\Users\vu minh\.codex\sessions\2026\08\02\rollout-2026-08-02T17-29-48-019fc205-cd55-7a50-950b-2f6a196b5dee.jsonl
2026-08-03T03:37:17.460Z,019fc5b2-7f43-7f23-8262-ffde9673ae61,d:\luanvancuoiky,64764,C:\Users\vu minh\.codex\sessions\2026\08\03\rollout-2026-08-03T10-37-17-019fc5b2-7f43-7f23-8262-ffde9673ae61.jsonl
2026-08-03T04:06:38.732Z,019fc5cd-5f39-7863-a5b2-93a372b3a4ab,d:\luanvancuoiky,1108959,C:\Users\vu minh\.codex\sessions\2026\08\03\rollout-2026-08-03T11-06-38-019fc5cd-5f39-7863-a5b2-93a372b3a4ab.jsonl
2026-08-04T01:03:01.509Z,019fca4b-9f33-7ca2-beed-c0a735c6d12c,d:\luanvancuoiky,701726,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T08-03-01-019fca4b-9f33-7ca2-beed-c0a735c6d12c.jsonl
2026-08-04T01:35:38.272Z,019fca69-7aad-7c81-a41b-21d9b9b7a3a6,d:\luanvancuoiky,1434806,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T08-35-38-019fca69-7aad-7c81-a41b-21d9b9b7a3a6.jsonl
2026-08-04T02:20:33.078Z,019fca92-996a-7fb0-beea-942596ee66ef,d:\luanvancuoiky,234670,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T09-20-33-019fca92-996a-7fb0-beea-942596ee66ef.jsonl
2026-08-04T03:12:03.860Z,019fcac1-c2c1-7fa1-9025-75f407e5c17d,d:\luanvancuoiky,726537,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-12-03-019fcac1-c2c1-7fa1-9025-75f407e5c17d.jsonl
2026-08-04T03:15:17.850Z,019fcac4-b895-7d41-8678-b7e083a63a7c,d:\luanvancuoiky,1317940,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-15-17-019fcac4-b895-7d41-8678-b7e083a63a7c.jsonl
2026-08-04T03:19:37.532Z,019fcac8-aef6-7891-b93f-98ea184a621a,d:\luanvancuoiky,546387,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-19-37-019fcac8-aef6-7891-b93f-98ea184a621a.jsonl
2026-08-04T03:21:58.183Z,019fcaca-d45c-71e2-b106-bf99705f2352,d:\luanvancuoiky,552583,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-21-58-019fcaca-d45c-71e2-b106-bf99705f2352.jsonl
2026-08-04T03:34:18.124Z,019fcad6-1ecd-7850-99bb-3c6de4e50875,d:\luanvancuoiky,1395321,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-34-18-019fcad6-1ecd-7850-99bb-3c6de4e50875.jsonl
2026-08-04T03:48:23.613Z,019fcae3-056d-75d1-92ad-eb777da35982,d:\luanvancuoiky,597014,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T10-48-23-019fcae3-056d-75d1-92ad-eb777da35982.jsonl
2026-08-04T04:08:09.283Z,019fcaf5-1d02-7f83-882f-620ecb4a883b,d:\luanvancuoiky,57551,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T11-08-09-019fcaf5-1d02-7f83-882f-620ecb4a883b.jsonl
2026-08-04T04:16:01.771Z,019fcafc-52a7-7192-8947-b6108df3e0a0,d:\luanvancuoiky,1640099,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T11-16-01-019fcafc-52a7-7192-8947-b6108df3e0a0.jsonl
2026-08-04T04:30:54.178Z,019fcb09-f095-73f0-a684-f990ae1268d9,d:\luanvancuoiky,807324,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T11-30-54-019fcb09-f095-73f0-a684-f990ae1268d9.jsonl
2026-08-04T05:04:05.958Z,019fcb28-5502-7851-a2a2-04d6af5ebca0,d:\luanvancuoiky,499745,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T12-04-05-019fcb28-5502-7851-a2a2-04d6af5ebca0.jsonl
2026-08-04T05:06:35.442Z,019fcb2a-9ce7-77a0-883d-13f05394caa9,d:\luanvancuoiky,406973,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T12-06-35-019fcb2a-9ce7-77a0-883d-13f05394caa9.jsonl
2026-08-04T05:35:54.324Z,019fcb45-7396-7d03-8f6d-ab878e020c67,d:\luanvancuoiky,85862,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T12-35-54-019fcb45-7396-7d03-8f6d-ab878e020c67.jsonl
2026-08-04T06:25:53.915Z,019fcb73-38aa-7dc1-a0e8-ba0bbda0b211,d:\luanvancuoiky,915945,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T13-25-53-019fcb73-38aa-7dc1-a0e8-ba0bbda0b211.jsonl
2026-08-04T06:46:54.822Z,019fcb86-7621-7113-8c34-e9e4bbbbcec9,d:\luanvancuoiky,2848373,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T13-46-54-019fcb86-7621-7113-8c34-e9e4bbbbcec9.jsonl
2026-08-04T07:54:53.870Z,019fcbc4-b3f2-77f3-b7c1-a06a5366e820,d:\luanvancuoiky,974949,C:\Users\vu minh\.codex\sessions\2026\08\04\rollout-2026-08-04T14-54-53-019fcbc4-b3f2-77f3-b7c1-a06a5366e820.jsonl
